Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
MSB,MESOBLAST LTD,Equity,0.10,3.35,"621,474.00","2,081,937.90","2,081,937.90",Health Care,B04SF48,AU000000MSB8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IPH,IPH LTD,Equity,0.10,7.74,"266,269.00","2,060,922.06","2,060,922.06",Industrials,BS7K5S1,AU000000IPH9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
HLS,PRIMARY HEALTH CARE LTD,Equity,0.10,3.13,"654,283.00","2,047,905.79","2,047,905.79",Health Care,BFZYRL1,AU0000033359,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
GOR,GOLD ROAD RESOURCES LTD,Equity,0.10,1.85,"1,106,210.00","2,046,488.50","2,046,488.50",Materials,B15F5K1,AU000000GOR5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PMV,PREMIER INVESTMENTS LTD,Equity,0.10,16.35,"123,138.00","2,013,306.30","2,013,306.30",Consumer Discretionary,6699781,AU000000PMV2,S66997818,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ELD,ELDERS LTD,Equity,0.10,10.07,"198,513.00","1,999,025.91","1,999,025.91",Consumer Staples,6357852,AU000000ELD6,S63578520,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CQR,CHARTER HALL RETAIL UNITS,Equity,0.09,3.16,"621,830.00","1,964,982.80","1,964,982.80",Real Estate,6225595,AU000000CQR9,S62255955,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PPT,PERPETUAL LTD,Equity,0.09,32.08,"59,861.00","1,920,340.88","1,920,340.88",Financials,6682394,AU000000PPT9,S66823949,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IVC,INVOCARE LTD,Equity,0.09,10.25,"183,218.00","1,877,984.50","1,877,984.50",Consumer Discretionary,6715267,AU000000IVC8,S67152678,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CNU,CHORUS LTD,Equity,0.09,6.99,"267,997.00","1,873,299.03","1,873,299.03",Communication,B54F6S5,NZCNUE0001S2,--,ASX - All Markets,New Zealand,Australian Dollar,Australian Dollar
PDL,PENDAL GROUP LTD,Equity,0.09,5.75,"322,873.00","1,856,519.75","1,856,519.75",Financials,BFY6LL6,AU0000009789,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
VUK,VIRGIN MONEY UK CDI PLC,Equity,0.09,1.69,"1,101,184.00","1,855,495.04","1,855,495.04",Financials,BJXCLP7,AU0000064966,--,ASX - All Markets,United Kingdom,Australian Dollar,Australian Dollar
PNV,POLYNOVO LTD,Equity,0.09,2.22,"828,169.00","1,838,535.18","1,838,535.18",Health Care,BSJBZM6,AU000000PNV0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
LYC,LYNAS CORPORATION LTD,Equity,0.09,2.02,"888,266.00","1,794,297.32","1,794,297.32",Materials,6121176,AU000000LYC6,S61211769,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
ARB,ARB CORPORATION CORP LTD,Equity,0.08,19.00,"92,366.00","1,754,954.00","1,754,954.00",Consumer Discretionary,BWV03W5,AU000000ARB5,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
FLT,FLIGHT CENTRE TRAVEL GROUP LTD,Equity,0.08,10.28,"166,297.00","1,709,533.16","1,709,533.16",Consumer Discretionary,6352147,AU000000FLT9,S63521470,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
RSG,RESOLUTE MINING LTD,Equity,0.08,1.21,"1,408,695.00","1,704,520.95","1,704,520.95",Materials,6410636,AU000000RSG6,S64106362,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WHC,WHITEHAVEN COAL LTD,Equity,0.08,1.54,"1,090,113.00","1,678,774.02","1,678,774.02",Energy,B1XQXC4,AU000000WHC8,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NUF,NUFARM LTD,Equity,0.08,4.07,"403,032.00","1,640,340.24","1,640,340.24",Materials,6335331,AU000000NUF3,S63353312,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BKW,BRICKWORKS LTD,Equity,0.08,16.52,"97,584.00","1,612,087.68","1,612,087.68",Materials,6315593,AU000000BKW4,S63155931,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
SGM,SIMS METAL MANAGEMENT LTD,Equity,0.08,7.84,"204,924.00","1,606,604.16","1,606,604.16",Materials,B0LCW75,AU000000SGM7,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
INA,INGENIA COMMUNITIES GROUP STAPLED,Equity,0.08,4.36,"364,664.00","1,589,935.04","1,589,935.04",Real Estate,B84GSC7,AU000000INA9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NWS,NEWS CORPORATION CLASS B VOTING CD,Equity,0.07,18.14,"85,995.00","1,559,949.30","1,559,949.30",Communication,BD7SZP7,AU000000NWS2,--,ASX - All Markets,United States,Australian Dollar,Australian Dollar
